OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU1	9461	5607	11584	1649	0	0	92	769	787	10086	8432	6952	0	1258	182	0	0	136	202	2765	15177	5679	2264	12199	4225	7247	27541	6461	34777	4072	3570	GSL|100.0|KF861805|SH206550.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU2	896	1657	369	1562	14487	9623	5486	7095	11540	3649	503	1073	2028	5772	455	1366	1870	1432	1233	5856	6878	258	6433	1628	1654	4132	116	1248	618	1895	2053	GDL|100.0|HM999854|SH207241.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU4	19126	6478	7139	402	1848	655	689	1057	187	325	1138	1349	592	610	852	579	1971	589	225	1140	1063	117	520	4892	12755	5460	53	677	228	195	2566	GSL|100.0|KT693613|SH195774.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales	-	-	-	-	-	-	-	Unassigned	-
OTU3	911	1434	5753	2653	77	35	21	417	75	0	2432	523	0	1232	0	193	481	237	1213	2056	44	11699	607	1868	87	289	0	133	13287	2092	183	GS|99.4|MF533187|SH220112.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU5	0	9025	0	2163	0	0	47	745	3628	581	0	28	1598	1104	514	0	0	0	0	236	454	16551	680	0	421	82	0	176	5902	202	209	GS|99.6|FJ553309|SH196149.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Sarcinomyces	-	-	-	-	-	-	-	Unassigned	-
OTU7	345	774	0	2714	524	904	717	312	553	353	70	192	395	2324	99	3183	3259	3634	1865	180	1021	73	967	138	94	395	0	1765	1087	3104	1064	GSL|100.0|KC253942|SH215493.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU6	0	2201	0	248	0	0	86	354	0	0	0	147	0	1876	0	105	0	50	17028	1439	0	0	0	0	0	320	0	563	2444	680	1256	GSL|100.0|KF981863|SH206550.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU9	0	350	17264	832	0	0	0	23	0	0	0	59	0	482	11	196	164	79	64	50	0	532	30	0	276	93	0	430	1388	1742	866	GSL|100.0|KJ589622|SH206549.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	-	-	-	-	-	-	-	Unassigned	-
OTU11	0	1375	1184	0	0	0	0	42	14102	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	GS|97.0|KU168776|SH495395.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Cryptococcus	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU8	0	310	0	256	2668	1146	1344	26	62	73	0	0	169	2231	214	949	4578	754	209	35	149	0	87	0	0	33	0	73	1050	67	210	GDL|100.0|EF679345|SH216250.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU1002	108	1114	0	917	1004	927	864	440	601	163	152	111	338	1053	51	1492	2167	1571	377	44	181	0	255	130	34	192	0	847	862	165	110	GS|98.9|KR860284|SH220354.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae	Leptosphaeriaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Probable	Microfungus	NULL	Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU10	8549	0	174	43	93	70	34	60	0	124	67	198	114	174	522	25	46	19	0	303	343	0	140	100	91	287	0	260	96	733	1232	GSL|100.0|JX188129|SH197624.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium	Filobasidium	13	Saprotroph	Undefined Saprotroph	Highly Probable	Facultative Yeast	NULL	NULL	Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego
OTU12	0	118	0	798	0	0	0	0	232	0	0	0	18	968	17	0	56	0	763	0	0	0	0	0	53	0	34	2235	3845	2516	12	GS|100.0|EF159202|SH206550.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes	-	-	-	-	-	-	-	Unassigned	-
