SampleID,BarcodeSequence,LinkerPrimerSequence,Year,NdEp,Sr,Month,SiteCode,RepNum,SiteRep,Site,Elevation,DateCode,DescName,Description
AJ414,,,one,-3.97,0.708101,August,J,4,J4,SJER,400,B,AJ414,BAJ414
AP114,,,one,-4.3,0.708349,August,P,1,P1,PROVIDENCE,2000,B,AP114,BAP114
AS114,,,one,-4.57,0.709982,August,S,1,S1,SHORTHAIR,2700,B,AS114,BAS114
AT414,,,one,-3.95,0.708165,August,T,4,T4,SOAPROOT,1100,B,AT414,BAT414
JJ114,,,one,-3.98,0.708293,July,J,1,J1,SJER,400,A,JJ114,AJJ114
JJ415,,,two,-4.1,0.707771,July,J,4,J4,SJER,400,A,JJ415,AJJ415
JJ515,,,two,-5.9,0.707531,July,J,5,J5,SJER,400,A,JJ515,AJJ515
JP315,,,two,-4.7,0.708533,July,P,3,P3,PROVIDENCE,2000,A,JP315,AJP315
JP414,,,one,-5.14,0.709388,July,P,4,P4,PROVIDENCE,2000,A,JP414,AJP414
JP515,,,two,-6.1,0.708531,July,P,5,P5,PROVIDENCE,2000,A,JP515,AJP515
JS115,,,two,-4.7,0.709359,July,S,1,S1,SHORTHAIR,2700,A,JS115,AJS115
JS415,,,two,-5.7,0.71,July,S,4,S4,SHORTHAIR,2700,A,JS415,AJS415
JT115,,,two,-4.7,0.708401,July,T,1,T1,SOAPROOT,1100,A,JT115,AJT115
JT314,,,one,-4.68,0.709032,July,T,3,T3,SOAPROOT,1100,A,JT314,AJT314
JT415,,,two,-4.9,0.708331,July,T,4,T4,SOAPROOT,1100,A,JT415,AJT415
OJ415,,,two,-3.9,0.707727,October,J,4,J4,SJER,400,C,OJ415,COJ415
OJ514,,,one,-4.25,0.708177,October,J,5,J5,SJER,400,C,OJ514,COJ514
OJ515,,,two,-3.9,0.707874,October,J,5,J5,SJER,400,C,OJ515,COJ515
OJ615,,,two,-4.6,0.707472,October,J,6,J6,SJER,400,C,OJ615,COJ615
OP315,,,two,-5.8,0.709198,October,P,3,P3,PROVIDENCE,2000,C,OP315,COP315
OP515,,,two,-6.5,0.708894,October,P,5,P5,PROVIDENCE,2000,C,OP515,COP515
OP614,,,one,-5.04,0.708194,October,P,6,P6,PROVIDENCE,2000,C,OP614,COP614
OP615,,,two,-7.7,0.708604,October,P,6,P6,PROVIDENCE,2000,C,OP615,COP615
OS115,,,two,-7.2,0.709294,October,S,1,S1,SHORTHAIR,2700,C,OS115,COS115
OS214,,,one,-7.3,0.709074,October,S,2,S2,SHORTHAIR,2700,C,OS214,COS214
OS415,,,two,-6.9,0.709007,October,S,4,S4,SHORTHAIR,2700,C,OS415,COS415
OS615,,,two,-7.1,0.709216,October,S,6,S6,SHORTHAIR,2700,C,OS615,COS615
OT115,,,two,-5.2,0.709694,October,T,1,T1,SOAPROOT,1100,C,OT115,COT115
OT414,,,one,-4.37,0.708029,October,T,4,T4,SOAPROOT,1100,C,OT414,COT414
OT415,,,two,-5.91,0.708781,October,T,4,T4,SOAPROOT,1100,C,OT415,COT415
OT515,,,two,-5.9,0.708702,October,T,5,T5,SOAPROOT,1100,C,OT515,COT515
