OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515
OTU1	9461	5607	11584	1649	17	46	92	769	787	10086	8432	6952	58	1258	182	59	76	136	202	2765	15177	5679	2264	12199	4225	7247	27541	6461	34777	4072	3570
OTU10	8549	4	174	43	93	70	34	60	4	124	67	198	114	174	522	25	46	19	15	303	343	0	140	100	91	287	20	260	96	733	1232
OTU100	10	6	1	126	9	21	34	2	3	0	1	2	124	133	39	2	14	4	9	0	0	12	0	1	25	3	0	19	359	8	9
OTU1000	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0
OTU1001	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1002	108	1114	13	917	1004	927	864	440	601	163	152	111	338	1053	51	1492	2167	1571	377	44	181	26	255	130	34	192	2	847	862	165	110
OTU1004	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1005	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0
OTU1006	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
OTU1007	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OTU1009	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	28	0	0	2	0	0	0	0	0	2	197	1	0	0	0	1	0	0	0	0	0	0	0	0	0	706	2	0
OTU1010	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	1	1	0	5	1	0	0	0	0	0
OTU1011	0	0	0	0	0	2	2	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1012	2	8	13	1	0	0	1	14	1	3	0	4	0	7	12	0	26	1	0	56	6	96	34	0	49	0	0	0	28	7	0
OTU1013	16	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
OTU1014	4	0	0	2	26	6	2	0	0	0	0	0	0	72	0	0	3	4	0	1	0	0	0	0	0	0	0	0	2	0	0
OTU1015	0	0	0	0	0	16	13	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1016	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
OTU1017	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	4	0	0
OTU1019	11	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU102	0	199	3	31	3	2	3	26	159	11	1	1	44	28	21	3	0	1	0	6	11	216	14	3	7	7	0	7	83	2	3
OTU1020	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	1	0
OTU1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0
OTU1022	0	0	0	0	5	0	1	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1023	1	0	0	0	5	2	1	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1024	0	0	0	3	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	1	0	0	0	0	2	6	1	0
OTU1025	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1026	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0
OTU1027	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0
OTU1028	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1029	0	2	0	3	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
OTU103	6	96	28	29	151	42	49	5	2	2	1	1	3	56	0	43	36	20	28	3	7	105	8	2	54	23	3	24	7	11	11
OTU1030	0	0	1	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1031	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU1032	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
OTU1033	0	0	0	2	0	4	1	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	87	2	6
OTU1035	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1
OTU1036	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1037	1	1	0	0	0	2	4	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU1038	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
OTU104	2	2	409	0	1	13	2	9	0	5	2	0	1	1	1	0	0	2	0	2	2	0	7	0	4	0	1	1	0	1	22
OTU1040	2	0	0	0	2	9	3	0	0	1	0	0	2	3	3	9	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1
OTU1041	0	0	0	4	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	4	4	1	2	1	2	0	0
OTU1042	0	0	0	7	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1043	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1044	0	0	0	5	0	6	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
OTU1045	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	6	0	3
OTU1046	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1047	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
OTU1048	0	7	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	5	1	0	0	1	0	0
OTU1049	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
OTU105	0	0	0	5	0	0	6	0	3	0	2	0	0	7	0	341	37	31	2	0	0	0	0	2	0	0	0	21	0	0	21
OTU1051	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
OTU1052	0	0	0	2	0	4	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0
OTU1053	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	2	0	1	1
OTU1054	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1055	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
OTU1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	1	0
OTU1057	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1
OTU1058	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1059	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU106	0	0	14	3	0	0	0	1	0	0	21	17	4	0	0	0	0	0	0	0	0	0	0	50	300	52	0	0	4	0	0
OTU1060	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1061	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1062	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1063	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU1064	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
OTU1065	0	0	0	0	6	2	5	0	0	0	0	0	5	0	1	2	0	2	1	0	0	0	0	2	0	0	0	1	0	0	2
OTU1066	0	0	0	1	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU1067	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1068	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1069	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	0	0	270	0	0	1	0	0	0	0	0	3	104	2	0	7	0	0	0	0	0	0	0	0	2	0	0	457	0	6
OTU1070	0	0	0	0	0	2	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU1071	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1072	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0
OTU1073	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1
OTU1074	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1075	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU1076	0	0	0	0	0	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1077	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU1078	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1
