	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU2	Fungi	NA	NA	NA	NA	NA	NA
OTU3	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU4	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
OTU5	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Sarcinomyces	NA
OTU6	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU7	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	NA	NA
OTU8	Fungi	NA	NA	NA	NA	NA	NA
OTU9	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU10	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU11	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	NA
OTU12	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU13	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Ulocladium	Ulocladium dauci
OTU14	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU15	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
OTU16	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Phaffia	NA
OTU17	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	NA	NA
OTU18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU19	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium magnum
OTU20	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
OTU21	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU22	Fungi	NA	NA	NA	NA	NA	NA
OTU23	Fungi	NA	NA	NA	NA	NA	NA
OTU24	Fungi	Basidiomycota	Tremellomycetes	Holtermanniales	NA	Holtermanniella	Holtermanniella wattica
OTU25	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU26	Fungi	NA	NA	NA	NA	NA	NA
OTU27	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	NA
OTU28	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU29	Fungi	NA	NA	NA	NA	NA	NA
OTU30	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
OTU31	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU32	Fungi	NA	NA	NA	NA	NA	NA
OTU33	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU34	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum
OTU36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
OTU37	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU38	Fungi	NA	NA	NA	NA	NA	NA
OTU39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	NA
OTU40	Fungi	NA	NA	NA	NA	NA	NA
OTU41	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU42	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	NA
OTU43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
OTU44	Fungi	NA	NA	NA	NA	NA	NA
OTU45	Fungi	NA	NA	NA	NA	NA	NA
OTU46	Fungi	NA	NA	NA	NA	NA	NA
OTU47	Fungi	NA	NA	NA	NA	NA	NA
OTU48	Fungi	NA	NA	NA	NA	NA	NA
OTU49	Fungi	NA	NA	NA	NA	NA	NA
OTU50	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU51	Fungi	NA	NA	NA	NA	NA	NA
OTU52	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia globosa
OTU53	Fungi	NA	NA	NA	NA	NA	NA
OTU54	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Laetiporus	Laetiporus gilbertsonii
OTU55	Fungi	NA	NA	NA	NA	NA	NA
OTU56	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	NA
OTU57	Fungi	NA	NA	NA	NA	NA	NA
OTU58	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU60	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema laurentii
OTU61	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU62	Fungi	NA	NA	NA	NA	NA	NA
OTU63	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
OTU64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU65	Fungi	NA	NA	NA	NA	NA	NA
OTU66	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	Sporormia subticinensis
OTU67	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	NA
OTU68	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU69	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU70	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Sydowia	Sydowia polyspora
OTU71	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU72	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU73	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	Curvibasidium	Curvibasidium rogersii
OTU74	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU75	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Neocatenulostroma	NA
OTU76	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Calyptrozyma	NA
OTU77	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
OTU78	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU79	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	NA
OTU80	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU81	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU82	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU83	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU84	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU85	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU86	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU87	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Meristemomyces	Meristemomyces frigidus
OTU88	Fungi	NA	NA	NA	NA	NA	NA
OTU89	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Saitoella	Saitoella complicata
OTU90	Fungi	NA	NA	NA	NA	NA	NA
OTU91	Fungi	NA	NA	NA	NA	NA	NA
OTU92	Fungi	NA	NA	NA	NA	NA	NA
OTU93	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU94	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU95	Fungi	NA	NA	NA	NA	NA	NA
OTU96	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU97	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium herbarum
